"x"	"y"	"z"	"r"	"g"	"b"	"a"
"114"	-0.137141	0.0984204	0.446235	165	143	99	255
"115"	-0.135626	0.0986219	0.448155	171	127	85	255
"116"	-0.157062	0.105544	0.483376	169	159	118	255
"117"	-0.154138	0.103917	0.476206	172	160	127	255
"118"	-0.152289	0.103706	0.476105	123	109	76	255
"119"	-0.139669	0.0976469	0.450381	176	166	123	255
"120"	-0.137357	0.096644	0.446249	153	137	93	255
"121"	-0.136101	0.0972389	0.450185	141	121	77	255
"122"	-0.15729	0.103671	0.48339	170	160	119	255
"123"	-0.154666	0.102461	0.47824	173	159	125	255
"124"	-0.152663	0.10205	0.477129	118	104	70	255
"125"	-0.140022	0.0960569	0.451403	179	165	122	255
"126"	-0.137441	0.0946703	0.445254	170	154	110	255
"127"	-0.136059	0.095058	0.448182	136	116	72	255
"128"	-0.154588	0.0980581	0.464218	170	155	117	255
"129"	-0.155195	0.100994	0.480273	170	155	117	255
"130"	-0.153037	0.100389	0.478152	128	112	78	255
"131"	-0.140239	0.0942666	0.451417	177	163	120	255
"132"	-0.137656	0.0928961	0.445267	174	158	115	255
"133"	-0.136146	0.0930816	0.447187	136	120	77	255
"134"	-0.155726	0.0995164	0.482307	170	157	119	255
"135"	-0.153562	0.0989159	0.480185	169	154	116	255
"136"	-0.140864	0.0930521	0.454457	174	162	119	255
"137"	-0.138005	0.0913134	0.446289	173	161	120	255
"138"	-0.136232	0.0911105	0.446192	142	129	91	255
"139"	-0.179602	0.111122	0.545699	164	152	109	255
"140"	-0.176731	0.109925	0.540535	165	151	108	255
"141"	-0.174383	0.109309	0.538404	168	152	109	255
"142"	-0.156258	0.0980276	0.48434	163	151	110	255
"143"	-0.153789	0.0970502	0.4802	170	155	117	255
"144"	-0.141219	0.0914426	0.455479	172	160	117	255
"145"	-0.138355	0.0897251	0.447312	170	159	121	255
"146"	-0.136709	0.0897104	0.448223	146	133	96	255
"147"	-0.178994	0.108132	0.540661	168	152	108	255
"148"	-0.176471	0.10733	0.537519	168	150	107	255
"149"	-0.173799	0.10634	0.533367	171	150	108	255
"150"	-0.156638	0.0963394	0.485364	164	152	109	255
"151"	-0.154165	0.0953724	0.481223	169	155	114	255
"152"	-0.150684	0.0930931	0.470018	88	74	33	255
"153"	-0.141574	0.0898275	0.456502	171	161	118	255
"154"	-0.138838	0.0883174	0.449342	169	160	121	255
"155"	-0.13745	0.0886714	0.45227	143	133	96	255
"156"	-0.179239	0.106107	0.540677	168	152	109	255
"157"	-0.176716	0.105314	0.537534	172	152	108	255
"158"	-0.174209	0.104522	0.534393	161	140	98	255
"159"	-0.157019	0.0946456	0.486388	162	150	107	255
"160"	-0.154242	0.0933182	0.480228	162	148	107	255
"161"	-0.152529	0.0932903	0.481136	101	86	48	255
"162"	-0.140426	0.0861839	0.446427	163	154	113	255
"163"	-0.139189	0.0867152	0.450365	167	158	119	255
"164"	-0.138193	0.0876106	0.456318	146	136	99	255
"165"	-0.179829	0.104453	0.542713	164	150	107	255
"166"	-0.17713	0.103482	0.53856	168	152	109	255
"167"	-0.175785	0.10399	0.542492	158	140	97	255
"168"	-0.157707	0.0933124	0.489432	164	150	107	255
"169"	-0.15477	0.0918173	0.482261	163	149	108	255
"170"	-0.152904	0.0916036	0.482159	113	98	60	255
"171"	-0.139944	0.0856501	0.454413	161	153	109	255
"172"	-0.138939	0.0865281	0.460366	140	130	93	255
"173"	-0.132346	0.091896	0.497055	178	166	125	255
"174"	-0.130208	0.0913199	0.494935	171	150	108	255
"175"	-0.194223	0.104045	0.543504	164	148	104	255
"176"	-0.192203	0.103813	0.543393	165	149	105	255
"177"	-0.180248	0.102606	0.54374	162	150	109	255
"178"	-0.177036	0.101098	0.536554	164	150	109	255
"179"	-0.178034	0.104142	0.554633	167	150	110	255
"180"	-0.157323	0.0907002	0.485407	163	149	106	255
"181"	-0.154545	0.0894052	0.479247	168	151	113	255
"182"	-0.152835	0.0893721	0.480155	126	109	71	255
"183"	-0.140297	0.0840287	0.455435	160	150	113	255
"184"	-0.139028	0.0845343	0.459371	129	118	85	255
"185"	-0.134964	0.0909049	0.501206	175	163	130	255
"186"	-0.132694	0.0901562	0.498077	180	162	119	255
"187"	-0.130326	0.0892335	0.493942	148	128	84	255
"188"	-0.194661	0.102197	0.544531	162	146	102	255
"189"	-0.192072	0.10142	0.541385	163	145	101	255
"190"	-0.18987	0.101008	0.540263	162	141	99	255
"191"	-0.18084	0.100932	0.545777	162	149	111	255
"192"	-0.177621	0.0994429	0.538591	162	149	112	255
"193"	-0.156475	0.0875763	0.478353	162	150	109	255
"194"	-0.154016	0.0866543	0.474213	162	147	109	255
"195"	-0.152468	0.086797	0.476131	96	77	37	255
"196"	-0.142038	0.0820804	0.45353	163	151	108	255
"197"	-0.140516	0.082226	0.455449	159	148	111	255
"198"	-0.138983	0.0823704	0.457368	124	112	79	255
"199"	-0.133159	0.0885841	0.500107	185	164	122	255
"200"	-0.130898	0.0878446	0.496979	145	123	79	255
"201"	-0.192695	0.0997534	0.543424	164	146	102	255
"202"	-0.190674	0.0995215	0.543313	166	145	103	255
"203"	-0.192692	0.103214	0.565454	162	141	99	255
"204"	-0.184521	0.100546	0.553991	159	145	104	255
"205"	-0.181433	0.0992479	0.547814	161	148	110	255
"206"	-0.182631	0.102374	0.566905	162	149	111	255
"207"	-0.155622	0.0844899	0.471299	167	150	112	255
"208"	-0.153332	0.0837554	0.468169	159	145	104	255
"209"	-0.151801	0.0838945	0.470088	111	93	50	255
"210"	-0.142808	0.0809756	0.457579	164	152	109	255
"211"	-0.14087	0.0805961	0.456472	160	150	107	255
"212"	-0.139203	0.0805621	0.457382	133	122	87	255
"213"	-0.133742	0.0871717	0.503145	175	159	116	255
"214"	-0.131131	0.0859281	0.496994	143	126	79	255
"215"	-0.127773	0.0834978	0.483792	108	89	51	255
"216"	-0.194455	0.0991333	0.551533	160	146	103	255
"217"	-0.191667	0.098195	0.547375	162	146	103	255
"218"	-0.189268	0.0976105	0.545241	152	137	100	255
"219"	-0.187785	0.0979041	0.548164	151	134	104	255
"220"	-0.186107	0.0980208	0.550075	163	148	119	255
"221"	-0.184067	0.0977867	0.549963	146	135	102	255
"222"	-0.1822	0.0977271	0.550862	144	133	102	255
"223"	-0.155691	0.0824747	0.470303	166	149	109	255
"224"	-0.153554	0.0819204	0.468183	164	150	107	255
"225"	-0.152024	0.0820541	0.470102	128	107	65	255
"226"	-0.140952	0.0766105	0.442459	163	150	112	255
"227"	-0.141496	0.0793007	0.459512	162	149	111	255
"228"	-0.139688	0.0790933	0.459413	139	126	89	255
"229"	-0.134327	0.0857429	0.506183	170	156	115	255
"230"	-0.131706	0.0845145	0.500031	173	158	120	255
"231"	-0.129339	0.0836245	0.495896	138	120	96	255
"232"	-0.192288	0.0965003	0.549414	160	146	105	255
"233"	-0.188962	0.0950555	0.542222	155	142	105	255
